# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff73bc87073c8
# CUDA_DEVICE 0 Tesla C1060
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,memtransferhostmemtype
118f75818a4fe4e0,_Z9incKernelPfS_ii,2134.75,15,1,8192,1,512,1,1,0,32,4,1,,0
118f75818a708860,memcpyHtoDasync,6054.98,3,,,,,,,,,,1,16777216,1
118f75818accee60,memcpyDtoHasync,4925.82,2,,,,,,,,,,1,16777216,1
118f75818b190500,_Z9incKernelPfS_ii,2140.64,4,1,8192,1,512,1,1,0,32,4,1,,0
118f75818b39bf40,memcpyHtoDasync,6054.4,3,,,,,,,,,,1,16777216,1
118f75818b9622e0,memcpyDtoHasync,4910.59,2,,,,,,,,,,1,16777216,1
118f75818be1e660,_Z9incKernelPfS_ii,2140.16,2,1,8192,1,512,1,1,0,32,4,1,,0
118f75818c029fa0,memcpyHtoDasync,6054.37,2,,,,,,,,,,1,16777216,1
118f75818c5f0340,memcpyDtoHasync,4912.06,1,,,,,,,,,,1,16777216,1
118f75818caadc80,_Z9incKernelPfS_ii,2136.77,4,1,8192,1,512,1,1,0,32,4,1,,0
118f75818ccb8800,memcpyHtoDasync,6054.4,2,,,,,,,,,,1,16777216,1
118f75818d27eba0,memcpyDtoHasync,4909.57,1,,,,,,,,,,1,16777216,1
118f75818d73a9e0,_Z9incKernelPfS_ii,2143.65,3,1,8192,1,512,1,1,0,32,4,1,,0
118f75818d9470c0,memcpyHtoDasync,6054.37,2,,,,,,,,,,1,16777216,1
118f75818df0d440,memcpyDtoHasync,4908.67,1,,,,,,,,,,1,16777216,1
118f75818e3c9fc0,_Z9incKernelPfS_ii,2139.01,3,1,8192,1,512,1,1,0,32,4,1,,0
118f75818e5d5460,memcpyHtoDasync,6054.37,2,,,,,,,,,,1,16777216,1
118f75818eb9b800,memcpyDtoHasync,4908.61,2,,,,,,,,,,1,16777216,1
118f75818f0572e0,_Z9incKernelPfS_ii,2140.9,3,1,8192,1,512,1,1,0,32,4,1,,0
118f75818f262e20,memcpyHtoDasync,6054.37,1,,,,,,,,,,1,16777216,1
118f75818f8291c0,memcpyDtoHasync,4908.16,2,,,,,,,,,,1,16777216,1
118f75818fce48c0,_Z9incKernelPfS_ii,2139.04,3,1,8192,1,512,1,1,0,32,4,1,,0
118f75818feefdc0,memcpyHtoDasync,6054.37,2,,,,,,,,,,1,16777216,1
118f7581904b6160,memcpyDtoHasync,4908.96,2,,,,,,,,,,1,16777216,1
118f758190971fa0,_Z9incKernelPfS_ii,2142.88,3,1,8192,1,512,1,1,0,32,4,1,,0
118f758190b7e2c0,memcpyHtoDasync,6054.4,2,,,,,,,,,,1,16777216,1
118f758191144680,memcpyDtoHasync,4912.29,2,,,,,,,,,,1,16777216,1
118f7581916011e0,_Z9incKernelPfS_ii,2139.87,3,1,8192,1,512,1,1,0,32,4,1,,0
118f75819180c920,memcpyHtoDasync,6054.37,2,,,,,,,,,,1,16777216,1
118f758191dd2cc0,memcpyDtoHasync,4908.58,2,,,,,,,,,,1,16777216,1
118f75819228efa0,_Z9incKernelPfS_ii,2132.8,4,1,8192,1,512,1,1,0,32,4,1,,0
118f758192498b40,memcpyHtoDasync,6054.4,2,,,,,,,,,,1,16777216,1
118f758192a5eee0,memcpyDtoHasync,4908.77,2,,,,,,,,,,1,16777216,1
118f758192f114e0,_Z9incKernelPfS_ii,2138.53,3,1,8192,1,512,1,1,0,32,4,1,,0
118f75819311c7c0,memcpyHtoDasync,6054.37,2,,,,,,,,,,1,16777216,1
118f7581936e2b40,memcpyDtoHasync,4909.82,1,,,,,,,,,,1,16777216,1
118f758193b954c0,_Z9incKernelPfS_ii,2137.63,3,1,8192,1,512,1,1,0,32,4,1,,0
118f758193da0420,memcpyHtoDasync,6058.94,2,,,,,,,,,,1,16777216,1
