# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 118f6174b99dc4f3
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,memtransferhostmemtype
118f6ec28b1e8c80,_Z9incKernelPfS_ii,2394.21,8.102,1,32768,1,512,1,1,0,0,4,1,,0
118f6ec28b4517a0,memcpyHtoDasync,12402.7,9.498,,,,,,,,,,2,67108864,1
118f6ec28b494de0,memcpyDtoHasync,11817.2,7.543,,,,,,,,,,1,67108864,1
118f6ec28c028f00,_Z9incKernelPfS_ii,2402.08,8.94,1,32768,1,512,1,1,0,0,4,2,,0
118f6ec28c29a320,memcpyHtoDasync,11526.8,37.435,,,,,,,,,,3,67108864,1
118f6ec28c2ce0e0,memcpyDtoHasync,15508.4,6.146,,,,,,,,,,2,67108864,1
118f6ec28cd9e880,_Z9incKernelPfS_ii,2412.13,8.66,1,32768,1,512,1,1,0,0,4,3,,0
118f6ec28cff2280,memcpyHtoDasync,12611.4,40.508,,,,,,,,,,4,67108864,1
118f6ec28d1a8a60,memcpyDtoHasync,11761.1,6.146,,,,,,,,,,3,67108864,1
118f6ec28dbfe040,_Z9incKernelPfS_ii,2429.12,7.822,1,32768,1,512,1,1,0,0,4,4,,0
118f6ec28dcf66e0,memcpyHtoDasync,11214.8,6.146,,,,,,,,,,1,67108864,1
118f6ec28ea2f8c0,memcpyDtoHasync,10416.3,319.314,,,,,,,,,,4,67108864,1
118f6ec28e7abd80,_Z9incKernelPfS_ii,2477.5,5.587,1,32768,1,512,1,1,0,0,4,1,,0
118f6ec28f4359e0,memcpyHtoDasync,12503.5,2.794,,,,,,,,,,2,67108864,1
118f6ec28f432640,memcpyDtoHasync,11791,2.235,,,,,,,,,,1,67108864,1
118f6ec290025a40,_Z9incKernelPfS_ii,2415.68,5.587,1,32768,1,512,1,1,0,0,4,2,,0
118f6ec290029ce0,memcpyHtoDasync,11211.9,2.514,,,,,,,,,,3,67108864,1
118f6ec290d5d500,memcpyDtoHasync,10412.7,30.171,,,,,,,,,,2,67108864,1
118f6ec290ade820,_Z9incKernelPfS_ii,2492.1,8.66,1,32768,1,512,1,1,0,0,4,3,,0
118f6ec291762780,memcpyHtoDasync,12551.2,6.425,,,,,,,,,,4,67108864,1
118f6ec29175f5a0,memcpyDtoHasync,11845.6,2.235,,,,,,,,,,3,67108864,1
118f6ec29235e7e0,_Z9incKernelPfS_ii,2425.09,8.66,1,32768,1,512,1,1,0,0,4,4,,0
118f6ec292362780,memcpyHtoDasync,11480,2.794,,,,,,,,,,1,67108864,1
118f6ec2925b6a80,memcpyDtoHasync,14360.5,203.378,,,,,,,,,,4,67108864,1
118f6ec292e5af20,_Z9incKernelPfS_ii,2511.52,8.66,1,32768,1,512,1,1,0,0,4,1,,0
118f6ec29337f7c0,memcpyHtoDasync,12512.6,2.794,,,,,,,,,,2,67108864,1
118f6ec29337c540,memcpyDtoHasync,11796.1,2.794,,,,,,,,,,1,67108864,1
118f6ec293f72060,_Z9incKernelPfS_ii,2529.09,8.66,1,32768,1,512,1,1,0,0,4,2,,0
118f6ec293f760c0,memcpyHtoDasync,11459.9,6.425,,,,,,,,,,3,67108864,1
118f6ec2941e3a20,memcpyDtoHasync,14315.3,26.26,,,,,,,,,,2,67108864,1
118f6ec294a6a1a0,_Z9incKernelPfS_ii,2527.07,4.47,1,32768,1,512,1,1,0,0,4,3,,0
118f6ec294fa18a0,memcpyHtoDasync,12568.4,2.794,,,,,,,,,,4,67108864,1
118f6ec294f9e440,memcpyDtoHasync,11831.6,2.794,,,,,,,,,,3,67108864,1
118f6ec295ba1b40,_Z9incKernelPfS_ii,2503.42,8.66,1,32768,1,512,1,1,0,0,4,4,,0
118f6ec295ba59a0,memcpyHtoDasync,11476.6,6.705,,,,,,,,,,1,67108864,1
118f6ec295e0d3c0,memcpyDtoHasync,14320.2,25.143,,,,,,,,,,4,67108864,1
118f6ec29669d700,_Z9incKernelPfS_ii,2517.28,7.543,1,32768,1,512,1,1,0,0,4,1,,0
118f6ec296bcc6e0,memcpyHtoDasync,12482.8,7.822,,,,,,,,,,2,67108864,1
118f6ec296bc9200,memcpyDtoHasync,11803,2.235,,,,,,,,,,1,67108864,1
118f6ec2977b79a0,_Z9incKernelPfS_ii,2523.1,8.102,1,32768,1,512,1,1,0,0,4,2,,0
118f6ec2977bbb20,memcpyHtoDasync,11467.8,2.794,,,,,,,,,,3,67108864,1
118f6ec297a27c40,memcpyDtoHasync,14320.4,26.54,,,,,,,,,,2,67108864,1
118f6ec2982b1dc0,_Z9incKernelPfS_ii,2515.9,3.911,1,32768,1,512,1,1,0,0,4,3,,0
118f6ec2987e6d00,memcpyHtoDasync,12568.7,3.911,,,,,,,,,,4,67108864,1
118f6ec2987e3a20,memcpyDtoHasync,11840.4,2.235,,,,,,,,,,3,67108864,1
118f6ec2993e6e80,_Z9incKernelPfS_ii,2508.42,8.102,1,32768,1,512,1,1,0,0,4,4,,0
118f6ec2993eaf80,memcpyHtoDasync,11474,2.794,,,,,,,,,,1,67108864,1
118f6ec2996536e0,memcpyDtoHasync,14334.5,27.098,,,,,,,,,,4,67108864,1
118f6ec299ee2da0,_Z9incKernelPfS_ii,2511.39,4.19,1,32768,1,512,1,1,0,0,4,1,,0
118f6ec29a415e80,memcpyHtoDasync,12544.4,8.102,,,,,,,,,,2,67108864,1
118f6ec29a412c80,memcpyDtoHasync,11819.9,2.235,,,,,,,,,,1,67108864,1
118f6ec29b010200,_Z9incKernelPfS_ii,2413.06,8.102,1,32768,1,512,1,1,0,0,4,2,,0
118f6ec29b0142a0,memcpyHtoDasync,11471.1,7.822,,,,,,,,,,3,67108864,1
118f6ec29b265d60,memcpyDtoHasync,14366.9,25.981,,,,,,,,,,2,67108864,1
118f6ec29bb0aac0,_Z9incKernelPfS_ii,2481.15,3.911,1,32768,1,512,1,1,0,0,4,3,,0
118f6ec29c0306e0,memcpyHtoDasync,12578.5,2.794,,,,,,,,,,4,67108864,1
118f6ec29c02d120,memcpyDtoHasync,11841.3,2.514,,,,,,,,,,3,67108864,1
118f6ec29cc33080,_Z9incKernelPfS_ii,2528.06,9.219,1,32768,1,512,1,1,0,0,4,4,,0
118f6ec29cc36fc0,memcpyHtoDasync,11472.4,2.794,,,,,,,,,,1,67108864,1
118f6ec29cea4780,memcpyDtoHasync,14306.2,26.26,,,,,,,,,,4,67108864,1
118f6ec29d72e5a0,_Z9incKernelPfS_ii,2505.06,7.822,1,32768,1,512,1,1,0,0,4,1,,0
118f6ec29dc60240,memcpyHtoDasync,12503.9,8.102,,,,,,,,,,2,67108864,1
118f6ec29dc5ce80,memcpyDtoHasync,11794.3,2.235,,,,,,,,,,1,67108864,1
118f6ec29e8506a0,_Z9incKernelPfS_ii,2521.86,7.822,1,32768,1,512,1,1,0,0,4,2,,0
118f6ec29e8547a0,memcpyHtoDasync,11468.6,8.102,,,,,,,,,,3,67108864,1
118f6ec29eac0440,memcpyDtoHasync,14321.2,25.143,,,,,,,,,,2,67108864,1
118f6ec29f34a240,_Z9incKernelPfS_ii,2513.47,8.94,1,32768,1,512,1,1,0,0,4,3,,0
118f6ec29f87f940,memcpyHtoDasync,12562.4,4.19,,,,,,,,,,4,67108864,1
118f6ec29f87c580,memcpyDtoHasync,11829.3,6.705,,,,,,,,,,3,67108864,1
118f6ec2a047e2c0,_Z9incKernelPfS_ii,2523.49,7.543,1,32768,1,512,1,1,0,0,4,4,,0
118f6ec2a0482220,memcpyHtoDasync,11473.7,2.794,,,,,,,,,,1,67108864,1
118f6ec2a06eeda0,memcpyDtoHasync,14317.4,25.143,,,,,,,,,,4,67108864,1
118f6ec2a0f78ca0,_Z9incKernelPfS_ii,2514.75,7.822,1,32768,1,512,1,1,0,0,4,1,,0
118f6ec2a14ad380,memcpyHtoDasync,12505.5,6.425,,,,,,,,,,2,67108864,1
118f6ec2a14aa040,memcpyDtoHasync,11805.4,2.794,,,,,,,,,,1,67108864,1
118f6ec2a209e0c0,_Z9incKernelPfS_ii,2502.72,8.66,1,32768,1,512,1,1,0,0,4,2,,0
118f6ec2a20a2100,memcpyHtoDasync,11457,6.705,,,,,,,,,,3,67108864,1
118f6ec2a2309d20,memcpyDtoHasync,14319.1,24.863,,,,,,,,,,2,67108864,1
118f6ec2a2b95520,_Z9incKernelPfS_ii,2519.87,7.822,1,32768,1,512,1,1,0,0,4,3,,0
118f6ec2a30c8960,memcpyHtoDasync,12575,8.102,,,,,,,,,,4,67108864,1
118f6ec2a30c5660,memcpyDtoHasync,11836,2.235,,,,,,,,,,3,67108864,1
118f6ec2a3cca840,_Z9incKernelPfS_ii,2418.02,7.543,1,32768,1,512,1,1,0,0,4,4,,0
118f6ec2a3cce700,memcpyHtoDasync,11472.9,6.425,,,,,,,,,,1,67108864,1
118f6ec2a3f211e0,memcpyDtoHasync,14340.6,25.422,,,,,,,,,,4,67108864,1
118f6ec2a47c5c00,_Z9incKernelPfS_ii,2475.62,7.543,1,32768,1,512,1,1,0,0,4,1,,0
118f6ec2a4ce5040,memcpyHtoDasync,12507.6,8.102,,,,,,,,,,2,67108864,1
118f6ec2a4ce1f00,memcpyDtoHasync,11790.6,2.235,,,,,,,,,,1,67108864,1
118f6ec2a58d65a0,_Z9incKernelPfS_ii,2500.38,8.94,1,32768,1,512,1,1,0,0,4,2,,0
118f6ec2a58da440,memcpyHtoDasync,12184.2,2.794,,,,,,,,,,3,67108864,1
118f6ec2a5b3f6e0,memcpyDtoHasync,11559,29.333,,,,,,,,,,2,67108864,1
