# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 118f6174a28ed5f5
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,memtransferhostmemtype
118f7514539d6a40,_Z9incKernelPfS_ii,592.48,10.895,1,8192,1,512,1,1,0,0,4,1,,0
118f751453a8d980,memcpyHtoDasync,2813.7,17.6,,,,,,,,,,1,16777216,1
118f751453d45ba0,memcpyDtoHasync,2613.12,5.308,,,,,,,,,,1,16777216,1
118f751453fecbc0,_Z9incKernelPfS_ii,586.624,8.94,1,8192,1,512,1,1,0,0,4,1,,0
118f7514540a1a00,memcpyHtoDasync,2812.93,3.632,,,,,,,,,,1,16777216,1
118f751454358f80,memcpyDtoHasync,2612.42,807.645,,,,,,,,,,1,16777216,1
118f7514545fee20,_Z9incKernelPfS_ii,594.624,11.733,1,8192,1,512,1,1,0,0,4,1,,0
118f751454696240,memcpyHtoDasync,2813.89,4.19,,,,,,,,,,1,16777216,1
118f75145494db80,memcpyDtoHasync,2612.03,6.146,,,,,,,,,,1,16777216,1
118f751454be9860,_Z9incKernelPfS_ii,593.312,5.587,1,8192,1,512,1,1,0,0,4,1,,0
118f751454c80440,memcpyHtoDasync,2813.02,4.749,,,,,,,,,,1,16777216,1
118f751454f37a20,memcpyDtoHasync,2611.42,4.19,,,,,,,,,,1,16777216,1
118f7514551d76c0,_Z9incKernelPfS_ii,604.896,13.41,1,8192,1,512,1,1,0,0,4,1,,0
118f751455271360,memcpyHtoDasync,2813.47,8.66,,,,,,,,,,1,16777216,1
118f751455528bc0,memcpyDtoHasync,2611.62,2.514,,,,,,,,,,1,16777216,1
118f7514557c33a0,_Z9incKernelPfS_ii,608.192,11.733,1,8192,1,512,1,1,0,0,4,1,,0
118f75145585de20,memcpyHtoDasync,2813.31,3.352,,,,,,,,,,1,16777216,1
118f751455b15640,memcpyDtoHasync,2611.94,4.19,,,,,,,,,,1,16777216,1
118f751455db3140,_Z9incKernelPfS_ii,606.368,13.13,1,8192,1,512,1,1,0,0,4,1,,0
118f751455e4d560,memcpyHtoDasync,2813.79,4.19,,,,,,,,,,1,16777216,1
118f751456104ea0,memcpyDtoHasync,2612.03,6.425,,,,,,,,,,1,16777216,1
118f7514563a35c0,_Z9incKernelPfS_ii,628,7.263,1,8192,1,512,1,1,0,0,4,1,,0
118f751456442a40,memcpyHtoDasync,2814.37,4.19,,,,,,,,,,1,16777216,1
118f7514566fa5e0,memcpyDtoHasync,2611.42,6.146,,,,,,,,,,1,16777216,1
118f751456994420,_Z9incKernelPfS_ii,615.328,7.543,1,8192,1,512,1,1,0,0,4,1,,0
118f751456a30800,memcpyHtoDasync,2813.89,4.19,,,,,,,,,,1,16777216,1
118f751456ce8320,memcpyDtoHasync,2611.9,5.867,,,,,,,,,,1,16777216,1
118f751456f84b20,_Z9incKernelPfS_ii,621.696,11.733,1,8192,1,512,1,1,0,0,4,1,,0
118f751457022900,memcpyHtoDasync,2813.98,4.19,,,,,,,,,,1,16777216,1
118f7514572da360,memcpyDtoHasync,2611.33,5.867,,,,,,,,,,1,16777216,1
118f75145757be00,_Z9incKernelPfS_ii,611.104,11.733,1,8192,1,512,1,1,0,0,4,1,,0
118f751457617080,memcpyHtoDasync,2813.79,3.632,,,,,,,,,,1,16777216,1
118f7514578ceb00,memcpyDtoHasync,2611.84,6.146,,,,,,,,,,1,16777216,1
118f751457b6bc20,_Z9incKernelPfS_ii,619.552,5.867,1,8192,1,512,1,1,0,0,4,1,,0
118f751457c09140,memcpyHtoDasync,2813.79,7.543,,,,,,,,,,1,16777216,1
118f751457ec0ce0,memcpyDtoHasync,2611.04,4.19,,,,,,,,,,1,16777216,1
118f75145815aa60,_Z9incKernelPfS_ii,621.856,5.587,1,8192,1,512,1,1,0,0,4,1,,0
118f7514581f88a0,memcpyHtoDasync,2813.09,3.632,,,,,,,,,,1,16777216,1
118f7514584afec0,memcpyDtoHasync,2612.03,2.514,,,,,,,,,,1,16777216,1
